[N/A] ID: N/A | Name: N/A | Path: base_module.py
[geometry] ID: geometry_polygons | Name: N/A | Path: geometry\geometry_polygons.py
[geometry] ID: geometry_sim_homothety | Name: 호모테티 | Path: geometry\geometry_sim_homothety.py
[geometry] ID: geometry_sim_spiral | Name: 나선 닮음 | Path: geometry\geometry_sim_spiral.py
[geometry] ID: geometry_solid_3d | Name: N/A | Path: geometry\geometry_solid_3d.py
[geometry] ID: geometry_transform_inversion | Name: 반전 기하 | Path: geometry\geometry_transform_inversion.py
[geometry] ID: geometry_transformations | Name: N/A | Path: geometry\geometry_transformations.py
[geometry] ID: geometry_triangle_centers | Name: N/A | Path: geometry\geometry_triangle_centers.py
[geometry] ID: geometry_triangle_properties | Name: N/A | Path: geometry\geometry_triangle_properties.py
[geometry] ID: geometry_trigonometry_laws | Name: N/A | Path: geometry\geometry_trigonometry_laws.py
[geometry] ID: geometry_vectors | Name: N/A | Path: geometry\geometry_vectors.py
[geometry] ID: meta_trace_removal | Name: 흔적 지우기 | Path: meta\meta_trace_removal.py
[hybrid] ID: meta_rosetta_mapping | Name: 영역 간 전이 | Path: meta\meta_rosetta_mapping.py
[integer] ID: alg_cyclic_ineq_plane | Name: Cyclic Inequalities on a Plane | Path: algebra\algebra_cyclic_ineq_plane.py
[integer] ID: algebra_basic_manipulation | Name: 기본 대수 조작 | Path: algebra\algebra_basic_manipulation.py
[integer] ID: algebra_binomial_theorem | Name: 이항정리 | Path: algebra\algebra_binomial_theorem.py
[integer] ID: algebra_complex_numbers | Name: 복소수와 드무아브르 정리 | Path: algebra\algebra_complex_numbers.py
[integer] ID: algebra_functions_and_properties | Name: 함수와 그 성질 | Path: algebra\algebra_functions_and_properties.py
[integer] ID: algebra_logarithms_exponents | Name: 로그 및 지수 함수 | Path: algebra\algebra_logarithms_exponents.py
[integer] ID: algebra_matrices_determinants | Name: 행렬과 행렬식 | Path: algebra\algebra_matrices_determinants.py
[integer] ID: algebra_poly_vieta_newton | Name: 비에타와 뉴턴 합 | Path: algebra\algebra_poly_vieta_newton.py
[integer] ID: algebra_polynomials_vieta | Name: 다항식의 근과 계수의 관계 | Path: algebra\algebra_polynomials_vieta.py
[integer] ID: algebra_quadratic_lattice | Name: Quadratic Lattice Union | Path: algebra\algebra_quadratic_lattice.py
[integer] ID: algebra_seq_characteristic_eq | Name: 점화식 특성 방정식 | Path: algebra\algebra_seq_characteristic_eq.py
[integer] ID: algebra_sequences_series_recurrence | Name: 무한 등비급수와 점화식 | Path: algebra\algebra_sequences_series_recurrence.py
[integer] ID: algebra_systems_of_equations | Name: 연립방정식 | Path: algebra\algebra_systems_of_equations.py
[integer] ID: algebra_telescoping_sum | Name: 망원급수 소거 | Path: algebra\algebra_telescoping_sum.py
[integer] ID: comb_divisibility_perm | Name: Divisibility Permutations | Path: combinatorics\comb_divisibility_perm.py
[integer] ID: comb_grid_sudoku_sum | Name: Grid Sudoku Sum | Path: combinatorics\comb_grid_sudoku_sum.py
[integer] ID: comb_multinomial_partition | Name: Multinomial Partition | Path: combinatorics\comb_multinomial_partition.py
[integer] ID: comb_pairing_probability | Name: Pairing Probability | Path: combinatorics\comb_pairing_probability.py
[integer] ID: comb_path_counting | Name: 격자 경로 회피 | Path: combinatorics\comb_path_counting.py
[integer] ID: geometry_area_and_volume | Name: 넓이와 부피 | Path: geometry\geometry_area_and_volume.py
[integer] ID: geometry_circles_tangency | Name: 데카르트 원 정리 | Path: geometry\geometry_circles_tangency.py
[integer] ID: geometry_power_of_a_point | Name: 방력 정리 | Path: geometry\geometry_power_of_a_point.py
[integer] ID: nt_base_divisibility | Name: Base Divisibility | Path: number_theory\nt_base_divisibility.py
[integer] ID: nt_diophantine_pell | Name: 펠 방정식 | Path: number_theory\nt_diophantine_pell.py
[integer] ID: nt_diophantine_vieta_jumping | Name: 비에타 점핑 | Path: number_theory\nt_diophantine_vieta_jumping.py
[integer] ID: nt_discrete_log | Name: 이산 로그 | Path: number_theory\nt_discrete_log.py
[integer] ID: nt_floor_legendre | Name: 레전드레 공식 | Path: number_theory\nt_floor_legendre.py
[integer] ID: nt_mod_lte_lemma | Name: LTE Lemma | Path: number_theory\nt_mod_lte_lemma.py
[integer] ID: nt_mod_order_primitive | Name: 위수와 원시근 | Path: number_theory\nt_mod_order_primitive.py
[integer] ID: nt_quadratic_residue | Name: 이차 잉여 | Path: number_theory\nt_quadratic_residue.py
[logic] ID: meta_rationale_layering | Name: 논리적 층화 | Path: meta\meta_rationale_layering.py
[mixed] ID: meta_logic_concealer | Name: 논리적 은폐 | Path: meta\meta_logic_concealer.py
[number_theory] ID: nt_base_representation_and_digits | Name: N/A | Path: number_theory\nt_base_representation_and_digits.py
[number_theory] ID: nt_chinese_remainder_theorem | Name: N/A | Path: number_theory\nt_chinese_remainder_theorem.py
[number_theory] ID: nt_diophantine_equations | Name: N/A | Path: number_theory\nt_diophantine_equations.py
[number_theory] ID: nt_divisibility_and_primes | Name: N/A | Path: number_theory\nt_divisibility_and_primes.py
[number_theory] ID: nt_divisor_functions | Name: N/A | Path: number_theory\nt_divisor_functions.py
[number_theory] ID: nt_frobenius_coin_problem | Name: N/A | Path: number_theory\nt_frobenius_coin_problem.py
[number_theory] ID: nt_gcd_lcm | Name: N/A | Path: number_theory\nt_gcd_lcm.py
[number_theory] ID: nt_modular_arithmetic | Name: N/A | Path: number_theory\nt_modular_arithmetic.py
[number_theory] ID: nt_order_and_primitive_roots | Name: N/A | Path: number_theory\nt_order_and_primitive_roots.py
[number_theory] ID: nt_perfect_powers | Name: N/A | Path: number_theory\nt_perfect_powers.py
[probability] ID: comb_prob_absorbing_markov | Name: 흡수 상태 마르코프 체인 | Path: combinatorics\comb_prob_absorbing_markov.py
[probability] ID: comb_prob_transition_matrix | Name: 전이 행렬과 재귀 | Path: combinatorics\comb_prob_transition_matrix.py
[proof] ID: meta_extremal_construction | Name: 극단성 구조 | Path: meta\meta_extremal_construction.py
[real] ID: algebra_absolute_value | Name: 절댓값 함수와 방정식 | Path: algebra\algebra_absolute_value.py
[real] ID: algebra_floor_ceiling_functions | Name: 바닥 및 천장 함수 (정수 부분 함수) | Path: algebra\algebra_floor_ceiling_functions.py
[real] ID: algebra_func_equations_cauchy | Name: 코시 함수 방정식 | Path: algebra\algebra_func_equations_cauchy.py
[real] ID: algebra_func_periodicity | Name: 함수 주기성 (Advanced) | Path: algebra\algebra_func_periodicity.py
[real] ID: algebra_func_symmetry | Name: 함수 대칭성 | Path: algebra\algebra_func_symmetry.py
[real] ID: algebra_inequalities | Name: 대수 부등식과 최적화 | Path: algebra\algebra_inequalities.py
[real] ID: algebra_kinematics | Name: 운동학 (속도, 거리, 시간) | Path: algebra\algebra_kinematics.py
[real] ID: algebra_statistics | Name: 통계 | Path: algebra\algebra_statistics.py
[real] ID: algebra_trigonometry | Name: 삼각함수 항등식과 방정식 | Path: algebra\algebra_trigonometry.py
[real] ID: geo_complex_bisector_tangency | Name: Complex Bisector Tangency | Path: geometry\geo_complex_bisector_tangency.py
[real] ID: geo_parabola_rotation | Name: Parabola Rotation | Path: geometry\geo_parabola_rotation.py
[real] ID: geo_reflection_heptagon | Name: Heptagon Area Reflection | Path: geometry\geo_reflection_heptagon.py
[real] ID: geo_trapezoid_inscribed | Name: Inscribed Circle Trapezoid | Path: geometry\geo_trapezoid_inscribed.py
[real] ID: geometry_coordinate_intersections | Name: 곡선 교점 분석 (Advanced) | Path: geometry\geometry_coordinate_intersections.py
